,Name,Minimum Alpha Acid %,Maximum Alpha Acid %,Possible Substitution,Flavor Description,Beer Styles
132,Glacier,5.0,9.0,"Styrian Golding, U.S. Fuggle, U.S. Tettnanger, Willamette",Dual purpose hop with a citrus earthy aroma.,india-pale-ale
133,Golding,4.0,6.0,"U.K. Golding, U.K. Progress, Whitbread Golding Variety","Mild, extremely pleasant, and gently hoppy.",india-pale-ale
134,Hallertau Blanc,9.0,12.0,,"Winey, passion fruit, grapefruit, gooseberry, pineapple character.",india-pale-ale
135,Horizon,11.0,14.0,Magnum,"Spicy, floral. Low co-humulone results in clean tasting beer.",india-pale-ale
136,Huell Melon,7.0,8.0,,Honeydew melon and strawberry aroma.,india-pale-ale
137,Idaho,12.0,15.0,,"A dual-purpose variety with flavors and aromas of tropical fruit, orange, apricot, black tea, pine, and herbs.",india-pale-ale
138,Kent Golding,4.0,5.5,"U.K. Progress, U.S. Golding, Whitbread Golding Variety","Gentle, fragrant, and pleasant.",india-pale-ale
139,Lemondrop,5.0,7.0,Amarillo,"This aroma hop originated from a cross between Cascade and USDA 19058 male. It features (of course) lemony, floral, earthy, herbal, grassy, citrus, pepper, and pine notes.",india-pale-ale
140,Magnum,12.0,16.0,"Northdown, Northern Brewer",Known for bittering value and quality.,india-pale-ale
141,Magnum,10.0,14.0,"Northdown, Northern Brewer",High alpha variety,india-pale-ale
142,Mosaic™,11.5,13.5,"Nugget, Simcoe","Both fruity and containing grassy, floral, earthy notes.",india-pale-ale
143,Nelson Sauvin,12.0,14.0,,"Distinctive white wine “fruitiness,” gooseberry. Considered by some as “extreme,” this hop is often used in specialty craft and seasonal beers.",india-pale-ale
144,Newport,13.0,17.0,"Galena, Nugget",Fairly pungent.,india-pale-ale
145,Northdown,7.5,9.5,,Fruity with some spiciness.,india-pale-ale
146,Northern Brewer,7.0,10.0,"Chinook, U.S. Northern Brewer",Medium-strong with some wild tones.,india-pale-ale
147,Northern Brewer,6.0,10.0,"Chinook, Nugget",Medium-strong with some wild tones.,india-pale-ale
148,Northwest Golding,4.0,5.0,,Known for aromatic properties.,india-pale-ale
149,Nugget,11.0,14.5,"Chinook, Columbus, Galena, U.K. Target",Quite heavy and herbal.,india-pale-ale
150,Olympic,11.0,13.0,Chinook,"Mild to medium, citrusy aroma, spicy.",india-pale-ale
151,Orbit,N/,N/,,Orbit is different each year as it uses a proprietary blend of hops specially selected out of the New Zealand “Hops with a Difference” breeding program.,india-pale-ale
