,Name,Minimum Alpha Acid %,Maximum Alpha Acid %,Possible Substitution,Flavor Description,Beer Styles
948,Magnum,12.0,16.0,"Northdown, Northern Brewer",Known for bittering value and quality.,european-dark-lager
949,Magnum,10.0,14.0,"Northdown, Northern Brewer",High alpha variety,european-dark-lager
950,Marynka,9.0,12.0,,New hop variety with intense aroma,european-dark-lager
951,Merkur,12.0,15.0,Magnum,"high-alpha, bittering hop",european-dark-lager
952,Motueka,6.5,7.5,"Czech Saaz, U.S. Saaz","Aroma hop that is fruity, tropical and citrusy.",european-dark-lager
953,Mt. Rainier,5.0,8.1,Hallertauer,only available in 2012,european-dark-lager
954,Pacifica,5.0,6.0,Hallertau family,An aroma hop with some citrus and floral character,european-dark-lager
955,Pekko™,13.0,16.0,Saaz,"A clean and pleasant variety with floral mint, herbal, citrus, thyme, cucumber, lemon, and sage characteristics. Sometimes described as “Saaz like.”",european-dark-lager
956,Perle,6.0,8.5,"Northern Brewer, U.S. Perle","Moderately intense, good and hoppy, fruity and a little spicy.",european-dark-lager
957,Perle,6.0,9.5,"Chinook, Cluster, Galena, Northern Brewer","Known for its aromatic and bittering properties, pleasant and slightly spicy.",european-dark-lager
958,Saaz,3.0,4.5,U.S. Saaz,"Very mild with pleasant hoppy notes, earthy, spicy, and herbal.",european-dark-lager
959,Saaz,3.0,5.0,Czech Saaz,"Mild and pleasant, earthy and spicy.",european-dark-lager
960,Santiam,5.0,7.9,"German Spalt, German Spalt Select, German Tettnanger",Noble characteristics.,european-dark-lager
961,Saphir,2.5,4.5,Any noble hops,Mild aroma hop.,european-dark-lager
962,Select,4.0,6.0,"Czech Saaz, German Spalt, Tettnanger",noble-type aroma,european-dark-lager
963,Sladek,5.0,6.0,"Czech Saaz, U.S. Saaz, U.S. Tettnanger",A dual-purpose Saaz hybrid.,european-dark-lager
964,Southern Cross,11.0,14.0,,"Piney, resinous bittering hop",european-dark-lager
965,Sovereign,5.0,6.0,U.K. Fuggle,mild flavor,european-dark-lager
966,Spalt,4.0,5.5,"German Spalt Select, U.S. Saaz, U.S. Tettnanger","Mild and pleasant, slightly spicy.",european-dark-lager
967,Spalt Select,4.0,6.0,"German Spalt, U.S. Saaz, U.S. Tettnanger",Very fine Spalter-type aroma.,european-dark-lager
968,Spalt Select,3.0,5.0,"Saaz, Tettnanger",Medium intensity and pleasant hoppy qualities. Medium-strong aroma with wild American tones.,european-dark-lager
969,Sterling,6.0,9.0,Saaz,"Herbal, spicy, pleasant aroma, hint of floral and citrus.",european-dark-lager
970,Strisslespalt,3.0,5.0,"Crystal, Hersbrucker, Mt. Hood","Medium intensity, pleasant, hoppy.",european-dark-lager
971,Styrian Golding,4.5,6.0,"U.K. Fuggle, U.S. Fuggle, Willamette","Delicate, slightly spicy.",european-dark-lager
972,Target,9.5,12.5,"Fuggle, Willamette","Pleasant English hop aroma, quite intense.",european-dark-lager
973,Taurus,12.0,17.0,Magnum,high-alpha hop,european-dark-lager
974,Tettnanger,3.5,5.5,"German Spalt, German Spalt Select, Saaz, U.S. Tettnanger","Mild and pleasant, slightly spicy, herbal.",european-dark-lager
975,Tettnanger,3.4,5.2,"Czech Saaz, German Spalt, Santiam","An aromatic hop, mild and slightly spicy.",european-dark-lager
976,Wakatu,N/,N/,"Hallertauer Mittelfrüh, Nelson Sauvin","Wakatu features floral aromas, as well as notes of fresh lime zest, citrus oils, and has a Mittlefrüh-style sweetness.",european-dark-lager
977,Aurora,6.0,8.0,,Northern Brewer,european-pale-lager
978,Boadicea,8.0,9.0,,spicy,european-pale-lager
979,Crystal,2.0,4.5,"French Strisslespalt, Hallertauer, Hersbrucker, Liberty, Mt. Hood","Mild and pleasant, spicy and flowery.",european-pale-lager
980,El Dorado,14.0,16.0,,"Dual purpose hop with fruity, tropical flavors.",european-pale-lager
981,Ella,13.3,16.3,,"Dual purpose hop that displays floral and subtle spice notes. When used as a late addition or dry hop, it imparts grapefruit and topical flavors.",european-pale-lager
982,Green Bullet,11.0,14.0,"Crystal, Hallertauer Tradition, Liberty, Mt. Hood, Ultra",Dual purpose hop.,european-pale-lager
983,Hallertau Aroma,6.5,8.5,Perle,A dual purpose hop which has been used to replace Perle,european-pale-lager
984,Hallertauer,3.5,5.5,"Hallertauer Tradition, Liberty, Ultra","Very mild, pleasant, and slightly flowery, some spicy.",european-pale-lager
985,Hallertauer Gold,6.0,6.5,"Crystal, Mt. Hood",Known for its aromatic properties similar to Hallertauer.,european-pale-lager
986,Hallertauer Mittelfrüh,3.0,5.5,"German Tradition, Liberty, Ultra",Mild and pleasant.,european-pale-lager
987,Hallertauer Tradition,3.5,5.5,"Crystal, Liberty",Known for its aromatic properties. A replacement for Hallertauer Mittelfrüh.,european-pale-lager
988,Herkules,12.0,17.0,,bittering hop,european-pale-lager
989,Hersbrucker,3.0,5.5,"French Strisslespalt, Mt. Hood","Mild to semi-strong, pleasant, hoppy.",european-pale-lager
990,Horizon,11.0,14.0,Magnum,"Spicy, floral. Low co-humulone results in clean tasting beer.",european-pale-lager
991,Idaho,12.0,15.0,,"A dual-purpose variety with flavors and aromas of tropical fruit, orange, apricot, black tea, pine, and herbs.",european-pale-lager
992,Jarrylo™,15.0,17.0,,"A high-alpha hop, the flavor imparts a mild sweetness and a tea-like spice, with flavors and aromas of banana, pear, spice, and herbal notes.",european-pale-lager
993,Liberty,3.0,6.0,"Hallertauer, Hallertauer Tradition, Mt. Hood","Mild and clean aroma, slightly spicy character.",european-pale-lager
994,Lublin,3.0,4.5,"Czech Saaz, U.S. Saaz, U.S. Tettnanger","Mild and typical of noble aroma types, spicy, herbal.",european-pale-lager
995,Magnum,12.0,16.0,"Northdown, Northern Brewer",Known for bittering value and quality.,european-pale-lager
996,Magnum,10.0,14.0,"Northdown, Northern Brewer",High alpha variety,european-pale-lager
997,Marynka,9.0,12.0,,New hop variety with intense aroma,european-pale-lager
998,Merkur,12.0,15.0,Magnum,"high-alpha, bittering hop",european-pale-lager
999,Millenium,12.0,15.0,Nugget,"Mild, herbal, similar to Nugget.",european-pale-lager
1000,Motueka,6.5,7.5,"Czech Saaz, U.S. Saaz","Aroma hop that is fruity, tropical and citrusy.",european-pale-lager
1001,Mt. Hood,3.0,8.0,"Crystal, French Strisslespalt, Hersbrucker","Mild, pleasant, and clean, somewhat pungent and resiny.",european-pale-lager
1002,Mt. Rainier,5.0,8.1,Hallertauer,only available in 2012,european-pale-lager
1003,Pacific Jade,12.0,14.0,,A “soft” bittering hop with spicy and citrus aroma qualities.,european-pale-lager
1004,Pacifica,5.0,6.0,Hallertau family,An aroma hop with some citrus and floral character,european-pale-lager
1005,Pekko™,13.0,16.0,Saaz,"A clean and pleasant variety with floral mint, herbal, citrus, thyme, cucumber, lemon, and sage characteristics. Sometimes described as “Saaz like.”",european-pale-lager
1006,Perle,6.0,8.5,"Northern Brewer, U.S. Perle","Moderately intense, good and hoppy, fruity and a little spicy.",european-pale-lager
1007,Perle,6.0,9.5,"Chinook, Cluster, Galena, Northern Brewer","Known for its aromatic and bittering properties, pleasant and slightly spicy.",european-pale-lager
1008,Premiant,8.0,12.5,,A dual purpose variety with a balanced bitterness and slightly spicy aroma,european-pale-lager
1009,Saaz,3.0,4.5,U.S. Saaz,"Very mild with pleasant hoppy notes, earthy, spicy, and herbal.",european-pale-lager
1010,Saaz,3.0,5.0,Czech Saaz,"Mild and pleasant, earthy and spicy.",european-pale-lager
1011,Santiam,5.0,7.9,"German Spalt, German Spalt Select, German Tettnanger",Noble characteristics.,european-pale-lager
1012,Saphir,2.5,4.5,Any noble hops,Mild aroma hop.,european-pale-lager
1013,Select,4.0,6.0,"Czech Saaz, German Spalt, Tettnanger",noble-type aroma,european-pale-lager
1014,Sladek,5.0,6.0,"Czech Saaz, U.S. Saaz, U.S. Tettnanger",A dual-purpose Saaz hybrid.,european-pale-lager
1015,Southern Cross,11.0,14.0,,"Piney, resinous bittering hop",european-pale-lager
1016,Sovereign,5.0,6.0,U.K. Fuggle,mild flavor,european-pale-lager
1017,Spalt,4.0,5.5,"German Spalt Select, U.S. Saaz, U.S. Tettnanger","Mild and pleasant, slightly spicy.",european-pale-lager
1018,Spalt Select,4.0,6.0,"German Spalt, U.S. Saaz, U.S. Tettnanger",Very fine Spalter-type aroma.,european-pale-lager
1019,Spalt Select,3.0,5.0,"Saaz, Tettnanger",Medium intensity and pleasant hoppy qualities. Medium-strong aroma with wild American tones.,european-pale-lager
1020,Sterling,6.0,9.0,Saaz,"Herbal, spicy, pleasant aroma, hint of floral and citrus.",european-pale-lager
1021,Strisslespalt,3.0,5.0,"Crystal, Hersbrucker, Mt. Hood","Medium intensity, pleasant, hoppy.",european-pale-lager
1022,Styrian Bobek,3.5,7.0,"Styrian Golding, U.K. Fuggle, U.S. Fuggle, Willamette","Intense, pleasant hop aroma. Similar to Fuggle type.",european-pale-lager
1023,Styrian Celeia,3.0,6.0,"Saaz, Slovenia Bobeck, Styrian Golding","Pleasant, hoppy. A high-quality aroma variety with excellent bitterness and aroma qualities.",european-pale-lager
1024,Styrian Golding,4.5,6.0,"U.K. Fuggle, U.S. Fuggle, Willamette","Delicate, slightly spicy.",european-pale-lager
1025,Target,9.5,12.5,"Fuggle, Willamette","Pleasant English hop aroma, quite intense.",european-pale-lager
1026,Taurus,12.0,17.0,Magnum,high-alpha hop,european-pale-lager
1027,Tettnanger,3.5,5.5,"German Spalt, German Spalt Select, Saaz, U.S. Tettnanger","Mild and pleasant, slightly spicy, herbal.",european-pale-lager
1028,Tettnanger,3.4,5.2,"Czech Saaz, German Spalt, Santiam","An aromatic hop, mild and slightly spicy.",european-pale-lager
1029,Tradition,5.0,7.0,"Hallertauer Mittelfrüh, Hersbrucker",Very fine and similar to Hallertauer Mittelfrüh.,european-pale-lager
1030,Ultra,2.0,4.1,"Hallertauer Tradition, Liberty, Saaz","Very good to outstanding, some Saaz-like qualities. Aromatic properties similar to Hallertauer.",european-pale-lager
1031,Vanguard,4.0,5.7,"Hallertauer Mittelfrüh, Saaz",Aroma similar to continental European types.,european-pale-lager
1032,Wakatu,N/,N/,"Hallertauer Mittelfrüh, Nelson Sauvin","Wakatu features floral aromas, as well as notes of fresh lime zest, citrus oils, and has a Mittlefrüh-style sweetness.",european-pale-lager
1033,Ahtanum™,4.0,6.3,"Amarillo, Cascade","Floral, citrus, sharp, and piney.",american-amber-ale
1034,Amarillo®,8.0,9.0,"Cascade, Centennial","Citrusy, flowery.",american-amber-ale
1035,Apollo,15.0,19.0,Zeus,A high alpha acid varietal known for its disease resistance.,american-amber-ale
1036,Azacca®,14.0,16.0,,"A dual-use, high-alpha hop. Aroma and flavor characteristics of apricot, ripe mango, orchard fruit, orange, grapefruit, pine, and pineapple.",american-amber-ale
1037,Boadicea,8.0,9.0,,spicy,american-amber-ale
1038,Bravo,14.0,17.0,,"Apollo, Zeus",american-amber-ale
1039,Cascade,4.5,7.0,"Amarillo, Centennial, possibly Columbus","Pleasant, flowery, spicy, and citrusy. Can have a grapefruit flavor.",american-amber-ale
1040,Cascade,6.0,8.0,"Ahtanum, Cascade, Centennial","Similar to US Cascade, has floral, citrus grapefruit character.",american-amber-ale
1041,Cashmere,7.7,9.1,,"This dual purpose variety is an offspring of Cascade and Northern Brewer. Cashmere has aroma and flavor characteristics of melon, lemon, lime, herbs, and citrus fruits.",american-amber-ale
1042,Centennial,8.0,11.5,"Cascade, possibly Columbus",Medium with floral and citrus tones.,american-amber-ale
1043,Chinook,10.0,14.0,"Columbus, Northern Brewer, Nugget, U.K. Target","Mild to medium-heavy, spicy, piney, and grapefruity.",american-amber-ale
1044,Citra®,11.0,13.0,,Intense citrusy flavor.,american-amber-ale
1045,Cluster,5.5,8.5,Galena,Medium and quite spicy.,american-amber-ale
1046,Columbus,11.0,16.0,"Chinook, Northern Brewer, Nugget, U.K. Target","Pleasant, with pungent aroma.",american-amber-ale
1047,Comet,9.0,11.0,,"Grapefruit, lemon, orange, and grassy notes.",american-amber-ale
1048,El Dorado,14.0,16.0,,"Dual purpose hop with fruity, tropical flavors.",american-amber-ale
1049,Eureka!,17.0,19.0,Simcoe,"An offspring of Apollo and German Merkur, Eureka! has aromas and characteristics of strong herbal notes, pine, mint, grapefruit rind, tangerine, and other citrus. Great for brewers looking for varieties to use in late addition, whirlpool, or “hop stand” hop additions.",american-amber-ale
1050,Galaxy™,11.0,16.0,,"When used as a late addition or dry hopped, it contributes a pungent flavor of passionfruit and citrus.",american-amber-ale
1051,Galena,10.0,14.0,"Chinook, Nugget, Pride of Ringwood","Medium but pleasant hoppiness, citrusy.",american-amber-ale
1052,Glacier,5.0,9.0,"Styrian Golding, U.S. Fuggle, U.S. Tettnanger, Willamette",Dual purpose hop with a citrus earthy aroma.,american-amber-ale
1053,Horizon,11.0,14.0,Magnum,"Spicy, floral. Low co-humulone results in clean tasting beer.",american-amber-ale
1054,Idaho,12.0,15.0,,"A dual-purpose variety with flavors and aromas of tropical fruit, orange, apricot, black tea, pine, and herbs.",american-amber-ale
1055,Jarrylo™,15.0,17.0,,"A high-alpha hop, the flavor imparts a mild sweetness and a tea-like spice, with flavors and aromas of banana, pear, spice, and herbal notes.",american-amber-ale
1056,Kohatu,3.0,3.0,,Aroma hop with high essential oils and intense floral characters of pine needles and tropical fruit.,american-amber-ale
1057,Legacy,N/,N/,,"Clean grapefruit, floral, black currant notes and a spicy aroma.",american-amber-ale
1058,Lemondrop,5.0,7.0,Amarillo,"This aroma hop originated from a cross between Cascade and USDA 19058 male. It features (of course) lemony, floral, earthy, herbal, grassy, citrus, pepper, and pine notes.",american-amber-ale
1059,Magnum,12.0,16.0,"Northdown, Northern Brewer",Known for bittering value and quality.,american-amber-ale
1060,Magnum,10.0,14.0,"Northdown, Northern Brewer",High alpha variety,american-amber-ale
1061,Nelson Sauvin,12.0,14.0,,"Distinctive white wine “fruitiness,” gooseberry. Considered by some as “extreme,” this hop is often used in specialty craft and seasonal beers.",american-amber-ale
1062,Newport,13.0,17.0,"Galena, Nugget",Fairly pungent.,american-amber-ale
1063,Northern Brewer,7.0,10.0,"Chinook, U.S. Northern Brewer",Medium-strong with some wild tones.,american-amber-ale
1064,Northern Brewer,6.0,10.0,"Chinook, Nugget",Medium-strong with some wild tones.,american-amber-ale
1065,Northwest Golding,4.0,5.0,,Known for aromatic properties.,american-amber-ale
1066,Nugget,11.0,14.5,"Chinook, Columbus, Galena, U.K. Target",Quite heavy and herbal.,american-amber-ale
1067,Olympic,11.0,13.0,Chinook,"Mild to medium, citrusy aroma, spicy.",american-amber-ale
1068,Opal,5.0,8.0,Styrian Golding,German dual-purpose hop,american-amber-ale
1069,Orbit,N/,N/,,Orbit is different each year as it uses a proprietary blend of hops specially selected out of the New Zealand “Hops with a Difference” breeding program.,american-amber-ale
1070,Pacific Gem,13.0,15.0,Galena,Bittering hop with delicate blackberry and floral oak. Pleasant aroma and high bitterness level.,american-amber-ale
1071,Pacific Jade,12.0,14.0,,A “soft” bittering hop with spicy and citrus aroma qualities.,american-amber-ale
1072,Palisade®,5.5,9.5,Perhaps Cascade,Some “American” characteristics.,american-amber-ale
1073,Pekko™,13.0,16.0,Saaz,"A clean and pleasant variety with floral mint, herbal, citrus, thyme, cucumber, lemon, and sage characteristics. Sometimes described as “Saaz like.”",american-amber-ale
1074,Perle,6.0,8.5,"Northern Brewer, U.S. Perle","Moderately intense, good and hoppy, fruity and a little spicy.",american-amber-ale
1075,Perle,6.0,9.5,"Chinook, Cluster, Galena, Northern Brewer","Known for its aromatic and bittering properties, pleasant and slightly spicy.",american-amber-ale
1076,Pilgrim,9.0,13.0,"U.K. Challenger, U.K. Target","Dual purpose hop with citrusy, fruity, spicy, and lemon aromas.",american-amber-ale
1077,Pride of Ringwood,7.0,10.0,"Cluster, Galena","Quite pronounced, woody, earthy, herbal.",american-amber-ale
1078,Rakau,9.0,11.0,,"High alpha acids and oil content (particularly myrcene) with low cohumulone, making it ideal for the “hoppy not bitter” school of new world IPAs. Aromas and flavors of ripe fruit, grassiness, lemon, grapefruit juice, and hints of tropical flowers.",american-amber-ale
1079,Riwaka,4.5,6.5,"Czech Saaz, possible American ""C"" hops","Citrusy, grapefruit aroma hop",american-amber-ale
1080,Santiam,5.0,7.9,"German Spalt, German Spalt Select, German Tettnanger",Noble characteristics.,american-amber-ale
1081,Satus,12.5,14.0,Galena,Known for its bittering and aromatic properties.,american-amber-ale
1082,Simcoe®,12.0,14.0,,A bittering and aromatic hop.,american-amber-ale
1083,Sorachi Ace,13.0,16.0,,Bittering hop with lemony aroma,american-amber-ale
1084,Sovereign,5.0,6.0,U.K. Fuggle,mild flavor,american-amber-ale
1085,Styrian Aurora,7.0,9.5,"Northern Brewer, Styrian Golding, U.S. Styrian Bobek","Intense, pleasant and hoppy. Very suitable for extraction and for combination with other varieties in the brewing process.",american-amber-ale
1086,Summer,5.6,6.4,,"A hop variety formerly known as Summer Saaz that has a gentle floral aroma, slightly earthy. Expect apricot and stone fruit notes when used in dry hopping.",american-amber-ale
1087,Summit™,16.0,18.0,Simcoe,Ultra high-alpha bittering hop,american-amber-ale
1088,Sun,12.0,16.0,Magnum,High-alpha hop with intense character,american-amber-ale
1089,Super Alpha,10.0,12.0,,"Earthy, piney bittering hop.",american-amber-ale
1090,Super Pride,14.0,14.0,Pride of Ringwood,A high alpha variety bred from Pride of Ringwood.,american-amber-ale
1091,Target,9.5,12.5,"Fuggle, Willamette","Pleasant English hop aroma, quite intense.",american-amber-ale
1092,Tomahawk®,15.0,17.0,Columbus,Primarily a bittering hop.,american-amber-ale
1093,Topaz,13.7,17.7,,"A dual purpose hop, Topaz adds a resinous, grassy flavors; however, with later additions and in higher gravity brews, light tropical fruit flavors (some say lychee) become more pronounced.",american-amber-ale
1094,Vic Secret,14.0,17.0,,"An aroma hop with resinous, grassy and mild fruit flavors. Late and dry hop additions introduce appealing clean and distinct pineapple and pine characters. Lighter and less dominant than Galaxy.",american-amber-ale
1095,Wai-iti,3.4,3.4,Saaz,"Aroma hop with a startlingly citrus aroma made up of mandarin, lemon and lime zest",american-amber-ale
1096,Waimea,16.0,19.0,,High alpha but also lots of oils giving fresh tangelo and citrus fruit aroma with pine needles,american-amber-ale
1097,Wakatu,N/,N/,"Hallertauer Mittelfrüh, Nelson Sauvin","Wakatu features floral aromas, as well as notes of fresh lime zest, citrus oils, and has a Mittlefrüh-style sweetness.",american-amber-ale
1098,Warrior®,15.0,17.0,Nugget,A bittering and aromatic hop.,american-amber-ale
1099,Willamette,3.5,6.0,"Styrian Golding, U.S. Fuggle, U.S. Tettnanger","Mild and pleasant, slightly spicy, fruity, floral, a little earthy.",american-amber-ale
1100,Yakima Cluster,6.0,8.5,,Used as a kettle hop for bittering.,american-amber-ale
1101,Zeus,13.0,17.0,Columbus,Aromatic and pleasant.,american-amber-ale
1102,Admiral,13.5,16.0,"U.K. Challenger, U.K. Northdown, U.K. Target",Known for its bittering potential.,scottish-ale
1103,Boadicea,8.0,9.0,,spicy,scottish-ale
1104,Bobeck,3.5,7.0,,U.K. Fuggle,scottish-ale
1105,Bramling Cross,5.0,7.0,"U.K. Kent Golding, U.K. Progress, Whitbread Golding Variety","Quite mild, fruity currant aroma.",scottish-ale
1106,Brewer’s Gold,7.0,10.0,Bullion,Bittering hop with neutral aroma character.,scottish-ale
1107,Challenger,6.5,8.5,"Northern Brewer, U.S. or German Perle","Mild to moderate, quite spicy.",scottish-ale
1108,El Dorado,14.0,16.0,,"Dual purpose hop with fruity, tropical flavors.",scottish-ale
1109,First Gold,6.5,8.5,"maybe Crystal, U.K. Kent Golding",A little like Golding family; spicy.,scottish-ale
1110,Fuggle,4.0,5.5,"Styrian Golding, U.S. Fuggle, Willamette","Mild, pleasant, hoppy, and robust.",scottish-ale
1111,Fuggle,4.0,5.5,"Styrian Golding, U.K. Fuggle, U.S. Tettnanger, Willamette","Mild and pleasant, earthy and fruity.",scottish-ale
1112,Golding,4.0,6.0,"U.K. Golding, U.K. Progress, Whitbread Golding Variety","Mild, extremely pleasant, and gently hoppy.",scottish-ale
1113,Horizon,11.0,14.0,Magnum,"Spicy, floral. Low co-humulone results in clean tasting beer.",scottish-ale
1114,Kent Golding,4.0,5.5,"U.K. Progress, U.S. Golding, Whitbread Golding Variety","Gentle, fragrant, and pleasant.",scottish-ale
1115,Magnum,12.0,16.0,"Northdown, Northern Brewer",Known for bittering value and quality.,scottish-ale
1116,Magnum,10.0,14.0,"Northdown, Northern Brewer",High alpha variety,scottish-ale
1117,Mt. Rainier,5.0,8.1,Hallertauer,only available in 2012,scottish-ale
1118,Northdown,7.5,9.5,,Fruity with some spiciness.,scottish-ale
1119,Northern Brewer,7.0,10.0,"Chinook, U.S. Northern Brewer",Medium-strong with some wild tones.,scottish-ale
1120,Northern Brewer,6.0,10.0,"Chinook, Nugget",Medium-strong with some wild tones.,scottish-ale
1121,Northwest Golding,4.0,5.0,,Known for aromatic properties.,scottish-ale
1122,Opal,5.0,8.0,Styrian Golding,German dual-purpose hop,scottish-ale
1123,Phoenix,9.0,13.0,"U.K. Challenger, U.K. Kent Golding, U.K. Northdown","Dual purpose hop with aromas of pine, chocolate, molasses, and floral.",scottish-ale
1124,Pilgrim,9.0,13.0,"U.K. Challenger, U.K. Target","Dual purpose hop with citrusy, fruity, spicy, and lemon aromas.",scottish-ale
1125,Pioneer,8.0,10.0,U.K. Kent Golding,"A mild, typical English aroma.",scottish-ale
1126,Progress,5.0,7.5,"Fuggle, U.K. Kent Golding","Moderately strong, good aroma.",scottish-ale
1127,Sovereign,5.0,6.0,U.K. Fuggle,mild flavor,scottish-ale
1128,Styrian Golding,4.5,6.0,"U.K. Fuggle, U.S. Fuggle, Willamette","Delicate, slightly spicy.",scottish-ale
1129,Target,9.5,12.5,"Fuggle, Willamette","Pleasant English hop aroma, quite intense.",scottish-ale
1130,WGV (Whitbread Golding Variety),5.0,7.0,"Glacier, Styrian Golding, U.K. Kent Golding, U.K. Progress, U.K. Target","Quite pleasant and hoppy, moderately intense, slightly spicy.",scottish-ale
1131,Azacca®,14.0,16.0,,"A dual-use, high-alpha hop. Aroma and flavor characteristics of apricot, ripe mango, orchard fruit, orange, grapefruit, pine, and pineapple.",cider-and-perry
1132,Boadicea,8.0,9.0,,spicy,cider-and-perry
1133,Comet,9.0,11.0,,"Grapefruit, lemon, orange, and grassy notes.",cider-and-perry
1134,El Dorado,14.0,16.0,,"Dual purpose hop with fruity, tropical flavors.",cider-and-perry
1135,Eureka!,17.0,19.0,Simcoe,"An offspring of Apollo and German Merkur, Eureka! has aromas and characteristics of strong herbal notes, pine, mint, grapefruit rind, tangerine, and other citrus. Great for brewers looking for varieties to use in late addition, whirlpool, or “hop stand” hop additions.",cider-and-perry
1136,Idaho,12.0,15.0,,"A dual-purpose variety with flavors and aromas of tropical fruit, orange, apricot, black tea, pine, and herbs.",cider-and-perry
1137,Sovereign,5.0,6.0,U.K. Fuggle,mild flavor,cider-and-perry
1138,Admiral,13.5,16.0,"U.K. Challenger, U.K. Northdown, U.K. Target",Known for its bittering potential.,english-and-scottish-strong-ale
1139,Boadicea,8.0,9.0,,spicy,english-and-scottish-strong-ale
1140,Bobeck,3.5,7.0,,U.K. Fuggle,english-and-scottish-strong-ale
1141,Bramling Cross,5.0,7.0,"U.K. Kent Golding, U.K. Progress, Whitbread Golding Variety","Quite mild, fruity currant aroma.",english-and-scottish-strong-ale
1142,Brewer’s Gold,7.0,10.0,Bullion,Bittering hop with neutral aroma character.,english-and-scottish-strong-ale
1143,Brewer’s Gold,6.0,7.0,"Bullion, Galena, Northdown, Northern Brewer","Black currant, fruity, spicy.",english-and-scottish-strong-ale
1144,Bullion,6.5,9.0,"Columbus, Northern Brewer",A rich hop primarily used for bittering. Intense blackcurrant aroma.,english-and-scottish-strong-ale
1145,Challenger,6.5,8.5,"Northern Brewer, U.S. or German Perle","Mild to moderate, quite spicy.",english-and-scottish-strong-ale
1146,El Dorado,14.0,16.0,,"Dual purpose hop with fruity, tropical flavors.",english-and-scottish-strong-ale
1147,First Gold,6.5,8.5,"maybe Crystal, U.K. Kent Golding",A little like Golding family; spicy.,english-and-scottish-strong-ale
1148,Fuggle,4.0,5.5,"Styrian Golding, U.S. Fuggle, Willamette","Mild, pleasant, hoppy, and robust.",english-and-scottish-strong-ale
1149,Fuggle,4.0,5.5,"Styrian Golding, U.K. Fuggle, U.S. Tettnanger, Willamette","Mild and pleasant, earthy and fruity.",english-and-scottish-strong-ale
1150,Golding,4.0,6.0,"U.K. Golding, U.K. Progress, Whitbread Golding Variety","Mild, extremely pleasant, and gently hoppy.",english-and-scottish-strong-ale
1151,Herald,11.0,13.0,,New dual-purpose hop,english-and-scottish-strong-ale
1152,Horizon,11.0,14.0,Magnum,"Spicy, floral. Low co-humulone results in clean tasting beer.",english-and-scottish-strong-ale
1153,Kent Golding,4.0,5.5,"U.K. Progress, U.S. Golding, Whitbread Golding Variety","Gentle, fragrant, and pleasant.",english-and-scottish-strong-ale
1154,Magnum,12.0,16.0,"Northdown, Northern Brewer",Known for bittering value and quality.,english-and-scottish-strong-ale
1155,Magnum,10.0,14.0,"Northdown, Northern Brewer",High alpha variety,english-and-scottish-strong-ale
1156,Northdown,7.5,9.5,,Fruity with some spiciness.,english-and-scottish-strong-ale
1157,Northern Brewer,7.0,10.0,"Chinook, U.S. Northern Brewer",Medium-strong with some wild tones.,english-and-scottish-strong-ale
1158,Northern Brewer,6.0,10.0,"Chinook, Nugget",Medium-strong with some wild tones.,english-and-scottish-strong-ale
1159,Northwest Golding,4.0,5.0,,Known for aromatic properties.,english-and-scottish-strong-ale
1160,Phoenix,9.0,13.0,"U.K. Challenger, U.K. Kent Golding, U.K. Northdown","Dual purpose hop with aromas of pine, chocolate, molasses, and floral.",english-and-scottish-strong-ale
1161,Pilgrim,9.0,13.0,"U.K. Challenger, U.K. Target","Dual purpose hop with citrusy, fruity, spicy, and lemon aromas.",english-and-scottish-strong-ale
1162,Pioneer,8.0,10.0,U.K. Kent Golding,"A mild, typical English aroma.",english-and-scottish-strong-ale
1163,Progress,5.0,7.5,"Fuggle, U.K. Kent Golding","Moderately strong, good aroma.",english-and-scottish-strong-ale
1164,Sorachi Ace,13.0,16.0,,Bittering hop with lemony aroma,english-and-scottish-strong-ale
1165,Southern Cross,11.0,14.0,,"Piney, resinous bittering hop",english-and-scottish-strong-ale
1166,Sovereign,5.0,6.0,U.K. Fuggle,mild flavor,english-and-scottish-strong-ale
1167,Styrian Bobek,3.5,7.0,"Styrian Golding, U.K. Fuggle, U.S. Fuggle, Willamette","Intense, pleasant hop aroma. Similar to Fuggle type.",english-and-scottish-strong-ale
1168,Styrian Celeia,3.0,6.0,"Saaz, Slovenia Bobeck, Styrian Golding","Pleasant, hoppy. A high-quality aroma variety with excellent bitterness and aroma qualities.",english-and-scottish-strong-ale
1169,Styrian Golding,4.5,6.0,"U.K. Fuggle, U.S. Fuggle, Willamette","Delicate, slightly spicy.",english-and-scottish-strong-ale
1170,Super Alpha,10.0,12.0,,"Earthy, piney bittering hop.",english-and-scottish-strong-ale
1171,Super Pride,14.0,14.0,Pride of Ringwood,A high alpha variety bred from Pride of Ringwood.,english-and-scottish-strong-ale
1172,Target,9.5,12.5,"Fuggle, Willamette","Pleasant English hop aroma, quite intense.",english-and-scottish-strong-ale
1173,Wakatu,N/,N/,"Hallertauer Mittelfrüh, Nelson Sauvin","Wakatu features floral aromas, as well as notes of fresh lime zest, citrus oils, and has a Mittlefrüh-style sweetness.",english-and-scottish-strong-ale
1174,WGV (Whitbread Golding Variety),5.0,7.0,"Glacier, Styrian Golding, U.K. Kent Golding, U.K. Progress, U.K. Target","Quite pleasant and hoppy, moderately intense, slightly spicy.",english-and-scottish-strong-ale
