,Player,Age,Pos,Tm,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GW,EVA,PPA,SHA,S,S%,TOI,ATOI,PS
730,Shjon Podein,31,LW,COL,75,11,8,19,12,29,10,0,1,3,8,0,0,104,10.6,1014,13:31,1.9
731,Jason Podollan,23,RW,LAK,1,0,1,1,0,2,0,0,0,0,0,1,0,2,0.0,16,16:13,0.1
732,Rudy Poeschek,33,D,STL,12,0,0,0,-3,24,0,0,0,0,0,0,0,8,0.0,135,11:15,-0.1
733,Peter Popovic,31,D,PIT,54,1,5,6,-8,30,1,0,0,0,4,1,0,23,4.3,875,16:12,0.7
734,Marek Posmyk,21,D,TBL,18,1,2,3,1,20,1,0,0,0,2,0,0,22,4.5,237,13:12,0.7
735,Tom Poti,22,D,EDM,76,9,26,35,8,65,6,2,1,1,15,11,0,125,7.2,1836,24:10,7.1
736,Patrick Poulin,26,C,MTL,82,10,5,15,-15,17,9,0,1,2,4,0,1,82,12.2,1030,12:34,0.7
737,Nolan Pratt,24,D,CAR,64,3,1,4,-22,90,3,0,0,1,1,0,0,47,6.4,1227,19:10,0.8
738,Keith Primeau,28,C,PHI,23,7,10,17,10,31,6,1,0,1,9,0,1,51,13.7,406,17:38,2.3
739,Wayne Primeau,23,C,TOT,58,7,10,17,-12,63,5,2,0,1,8,1,1,75,9.3,697,12:01,0.8
740,Wayne Primeau,23,C,BUF,41,5,7,12,-8,38,3,2,0,1,6,1,0,40,12.5,453,11:03,0.7
741,Wayne Primeau,23,C,TBL,17,2,3,5,-4,25,2,0,0,0,2,0,1,35,5.7,244,14:21,0.1
742,Bob Probert,34,LW,CHI,69,4,11,15,10,114,4,0,0,0,11,0,0,38,10.5,722,10:28,1.0
743,Martin Prochazka,27,RW,ATL,3,0,1,1,-1,0,0,0,0,0,1,0,0,5,0.0,50,16:37,0.0
744,Chris Pronger,25,D,STL,79,14,48,62,52,92,6,8,0,3,27,18,3,192,7.3,2389,30:14,14.8
745,Sean Pronger,27,C,BOS,11,0,1,1,-4,13,0,0,0,0,1,0,0,7,0.0,119,10:47,-0.2
746,Vinny Prospal,24,C,OTT,79,22,33,55,-2,40,17,5,0,4,20,12,1,204,10.8,1299,16:26,5.9
747,Joel Prpic,25,C,BOS,14,0,3,3,-6,0,0,0,0,0,3,0,0,13,0.0,95,6:47,-0.1
748,Dale Purinton,23,D,NYR,1,0,0,0,-1,7,0,0,0,0,0,0,0,1,0.0,13,12:45,-0.1
749,Jamie Pushor,26,D,DAL,62,0,8,8,0,53,0,0,0,0,8,0,0,27,0.0,719,11:36,2.0
750,Deron Quint,23,D,TOT,54,4,7,11,-2,24,4,0,0,1,5,2,0,94,4.3,898,16:38,2.2
751,Deron Quint,23,D,PHX,50,3,7,10,0,22,3,0,0,1,5,2,0,88,3.4,832,16:39,2.1
752,Deron Quint,23,D,NJD,4,1,0,1,-2,2,1,0,0,0,0,0,0,6,16.7,66,16:26,0.1
753,Stephane Quintal,31,D,NYR,75,2,14,16,-10,77,2,0,0,1,10,3,1,102,2.0,1430,19:04,2.8
754,Karel Rachunek,20,D,OTT,6,0,0,0,0,2,0,0,0,0,0,0,0,3,0.0,48,8:03,0.1
755,Brian Rafalski,26,D,NJD,75,5,27,32,21,28,4,1,0,1,21,6,0,128,3.9,1414,18:51,6.8
756,Marcus Ragnarsson,28,D,SJS,63,3,13,16,13,38,3,0,0,0,8,3,2,60,5.0,1440,22:52,4.5
757,Paul Ranheim,34,LW,CAR,79,9,13,22,-14,6,9,0,0,2,11,2,0,98,9.2,894,11:19,1.4
758,Erik Rasmussen,22,C,BUF,67,8,6,14,1,43,8,0,0,2,5,1,0,76,10.5,767,11:27,1.0
759,Mike Rathje,25,D,SJS,66,2,14,16,-2,31,2,0,0,0,9,5,0,46,4.3,1464,22:11,3.2
760,Rob Ray,31,LW,BUF,69,1,3,4,0,158,1,0,0,0,3,0,0,17,5.9,290,4:13,0.0
761,Marty Reasoner,22,C,STL,32,10,14,24,9,20,7,3,0,0,9,5,0,51,19.6,491,15:20,3.1
762,Mark Recchi,31,RW,PHI,82,28,63,91,20,50,20,7,1,5,30,32,1,223,12.6,1781,21:43,10.7
763,Wade Redden,22,D,OTT,81,10,26,36,-1,49,7,3,0,2,13,13,0,163,6.1,1921,23:43,6.8
764,Joe Reekie,34,D,WSH,59,0,7,7,21,50,0,0,0,0,7,0,0,32,0.0,1034,17:32,3.4
765,Robyn Regehr,19,D,CGY,57,5,7,12,-2,46,3,2,0,0,6,1,0,64,7.8,1049,18:24,2.6
766,Dave Reid,35,LW,COL,65,11,7,18,12,28,11,0,0,3,7,0,0,86,12.8,971,14:57,1.8
767,Steve Reinprecht,23,C,LAK,1,0,0,0,0,2,0,0,0,0,0,0,0,0,,6,6:01,0.0
768,Todd Reirden,28,D,STL,56,4,21,25,18,32,4,0,0,1,16,5,0,77,5.2,1025,18:18,5.7
769,Mikael Renberg,27,RW,TOT,72,10,25,35,-1,32,7,3,0,1,18,7,0,122,8.2,989,13:44,3.2
770,Mikael Renberg,27,RW,PHI,62,8,21,29,-1,30,5,3,0,1,15,6,0,106,7.5,834,13:27,2.7
771,Mikael Renberg,27,RW,PHX,10,2,4,6,0,2,2,0,0,0,3,1,0,16,12.5,155,15:31,0.5
772,Pascal Rheaume,26,C,STL,7,1,1,2,-2,6,1,0,0,0,1,0,0,5,20.0,71,10:08,0.1
773,Mike Ribeiro,19,C,MTL,19,1,1,2,-6,2,0,1,0,0,0,1,0,18,5.6,203,10:40,-0.2
774,Mike Ricci,28,C,SJS,82,20,24,44,14,60,10,10,0,5,18,4,2,134,14.9,1384,16:52,4.9
775,Luke Richardson,30,D,PHI,74,2,5,7,14,140,2,0,0,1,4,0,1,50,4.0,1197,16:11,3.8
