,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%
810,Paul Thompson,28,FLA,RW,21,124,188,39.7,-12.5,98,136,41.9,-9.9,6.3,92.7,98.9,52.5,47.5,7:54,7:53,4,2,-5.0,30,63.3
811,Ben Thomson,24,NJD,LW,3,29,23,55.8,1.1,24,19,55.8,1.7,0.0,77.8,77.8,50.0,50.0,10:53,10:53,0,1,0.3,8,87.5
812,Chris Thorburn,33,WPG,RW,64,297,373,44.3,-4.9,201,251,44.5,-5.1,5.0,91.4,96.4,46.2,53.8,6:59,6:16,4,4,-1.6,63,57.1
813,Joe Thornton,37,SJS,C,79,1225,1047,53.9,3.7,882,740,54.4,3.2,9.4,90.9,100.3,54.1,45.9,18:05,14:47,63,74,7.3,146,56.2
814,Shawn Thornton,39,FLA,LW,50,254,385,39.7,-11.8,203,279,42.1,-8.5,4.0,93.8,97.8,42.7,57.3,7:41,7:32,8,8,-8.3,81,51.9
815,Chris Tierney,22,SJS,C,80,895,916,49.4,-2.3,638,649,49.6,-3.4,8.1,91.6,99.6,45.1,54.9,14:38,12:28,41,59,1.1,148,60.1
816,Matthew Tkachuk,19,CGY,LW,76,1025,808,55.9,7.4,751,599,55.6,7.6,9.2,91.5,100.7,35.7,64.3,14:40,12:33,40,27,7.1,232,61.2
817,Jonathan Toews,28,CHI,C,72,1191,1084,52.4,2.4,844,823,50.6,0.1,9.7,92.5,102.1,55.4,44.6,20:09,16:09,37,37,-7.3,310,63.9
818,Tyler Toffoli,24,LAK,C,63,904,685,56.9,3.1,669,515,56.5,3.1,7.9,90.7,98.6,59.3,40.7,16:35,13:16,19,31,6.8,322,51.2
819,Sergey Tolchinsky,21,CAR,LW,2,29,28,50.9,4.0,25,24,51.0,5.6,5.6,94.1,99.7,40.0,60.0,11:29,11:25,0,0,-0.2,3,66.7
820,Jordin Tootoo,33,CHI,RW,50,307,319,49.0,0.1,213,222,49.0,0.4,3.2,93.2,96.4,47.6,52.4,6:45,6:41,9,9,0.5,81,53.1
821,Vincent Trocheck,23,FLA,C,82,1350,1144,54.1,5.4,1013,894,53.1,4.5,8.1,90.1,98.2,50.8,49.2,20:49,16:11,63,69,-1.7,423,54.4
822,Corey Tropp,27,ANA,RW,1,10,4,71.4,12.4,7,4,63.6,4.3,0.0,50.0,50.0,83.3,16.7,9:28,9:28,0,0,0.1,0,
823,Jacob Trouba,22,WPG,D,60,1105,1119,49.7,0.0,849,837,50.4,0.5,9.4,91.5,100.8,47.8,52.2,24:57,20:12,36,62,0.2,323,47.7
824,Nikita Tryamkin,22,VAN,D,66,853,920,48.1,-0.7,638,695,47.9,0.8,6.7,92.5,99.1,52.0,48.0,16:44,15:13,12,33,-7.9,162,40.1
825,Alex Tuch,20,MIN,RW,6,66,64,50.8,4.4,49,45,52.1,4.4,2.9,88.9,91.7,54.3,45.7,10:42,10:42,2,0,0.1,15,53.3
826,Kyle Turris,27,OTT,C,78,1185,1261,48.4,0.0,853,930,47.8,-1.6,7.9,92.4,100.3,52.3,47.7,19:30,15:51,25,57,-4.5,350,52.9
827,T.J. Tynan,24,CBJ,RW,3,22,21,51.2,0.5,14,20,41.2,-8.0,0.0,92.9,92.9,37.5,62.5,7:29,7:29,0,0,-0.1,7,42.9
828,Fedor Tyutin,33,COL,D,69,876,997,46.8,-2.8,629,754,45.5,-3.1,7.3,89.5,96.8,41.4,58.6,18:56,16:13,15,19,-9.3,100,46.0
829,Scottie Upshall,33,STL,RW,73,496,616,44.6,-6.1,377,452,45.5,-5.7,7.8,92.0,99.8,23.3,76.7,10:59,9:09,16,18,-2.5,142,59.9
830,James van Riemsdyk,27,TOR,LW,82,1174,1070,52.3,2.4,871,860,50.3,0.6,9.3,90.6,99.9,57.1,42.9,15:49,13:24,37,23,1.9,391,60.9
831,Trevor van Riemsdyk,25,CHI,D,58,914,889,50.7,0.4,667,633,51.3,1.0,10.6,92.6,103.2,50.8,49.2,18:25,16:60,22,35,6.3,161,45.3
832,Chris VandeVelde,29,PHI,C,81,584,678,46.3,-5.7,410,464,46.9,-5.4,5.9,93.2,99.1,45.6,54.4,11:34,9:01,14,12,-3.3,121,57.0
833,Thomas Vanek,33,TOT,LW,68,732,768,48.8,-0.5,582,625,48.2,-1.4,9.9,91.0,101.0,71.1,28.9,14:24,11:43,21,34,-3.9,216,61.6
834,Phil Varone,26,OTT,C,7,38,57,40.0,-9.7,28,44,38.9,-12.2,0.0,91.7,91.7,59.3,40.7,7:57,6:44,3,4,-0.7,5,20.0
835,Sami Vatanen,25,ANA,D,71,1100,1151,48.9,-0.6,828,854,49.2,-0.7,8.0,93.1,101.1,44.7,55.3,21:40,16:37,15,39,1.5,252,46.4
836,Frank Vatrano,22,BOS,C,44,544,404,57.4,3.1,420,304,58.0,3.0,5.7,91.0,96.7,66.8,33.2,13:24,11:29,9,8,1.9,194,59.8
837,Mike Vecchione,23,PHI,RW,2,17,14,54.8,-3.0,11,11,50.0,-9.3,0.0,90.9,90.9,62.5,37.5,8:30,8:22,0,1,-0.3,2,50.0
838,Antoine Vermette,34,ANA,C,72,841,892,48.5,-0.8,636,666,48.8,-0.8,7.6,91.7,99.4,43.7,56.3,15:54,13:03,14,28,0.0,162,54.3
839,Joel Vermin,24,TBL,RW,18,143,180,44.3,-10.0,109,127,46.2,-7.2,7.9,95.5,103.3,43.0,57.0,10:56,9:59,5,2,0.3,25,48.0
840,Kris Versteeg,30,CGY,RW,69,689,751,47.8,-3.2,492,571,46.3,-4.8,8.1,93.1,101.3,56.8,43.2,14:44,12:08,38,31,-8.1,254,53.5
841,Jimmy Vesey,23,NYR,LW,80,779,956,44.9,-3.9,583,698,45.5,-4.4,7.8,91.3,99.2,48.8,51.2,13:38,12:00,44,34,-8.1,214,54.2
842,Linden Vey,25,CGY,RW,4,32,26,55.2,-2.6,18,22,45.0,-10.6,0.0,87.5,87.5,68.4,31.6,11:01,9:09,0,2,0.8,5,20.0
843,Jake Virtanen,20,VAN,RW,10,73,90,44.8,-5.5,50,67,42.7,-7.4,3.1,100.0,103.1,48.6,51.4,10:09,9:47,4,0,-0.8,25,52.0
